ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	Correlacion_Pearson	Correlacion_Spearman	Hit-Skill-Score	k-2AFC-Score	k-2AFC-Categorical	k-2AFC-Continuous	ROC-above	ROC-below
1	-81.375	13.375	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	0.19	0.12	-9.3	54.6	55.05	51.3	0.52	0.52
2	-81.375	13.325	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	0.19	0.12	-9.3	54.6	55.05	51.47	0.52	0.52
3	-81.725	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	0.03	0.01	5.81	50.39	56.34	48.46	0.43	0.54
4	-81.675	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	0.07	0.02	5.81	50.72	60	50.24	0.46	0.55
5	-81.725	12.525	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	-0.06	-0.07	2.33	47.95	56.18	46.18	0.41	0.5
6	-81.725	12.475	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	-0.02	-0.04	5.81	48.62	58.29	47.8	0.44	0.51
7	-71.675	12.475	Caribe - Cesar	LA GUAJIRA	URIBIA	0	0.02	-16.28	51.61	53.01	51.38	0.45	0.58
8	-71.725	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	0.05	0.17	9.3	56.26	53.41	59.19	0.62	0.58
9	-71.675	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.03	-0.01	-23.26	50.5	54.41	50.98	0.43	0.58
10	-71.625	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.04	-0.04	-16.28	49.28	50.98	46.5	0.44	0.48
11	-71.575	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.12	-0.1	-9.3	47.84	47.65	44.48	0.39	0.47
12	-71.525	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.21	-0.14	-2.33	46.84	50	39.94	0.31	0.44
13	-71.475	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	-0.22	-0.13	-23.26	46.95	48.13	39.94	0.3	0.45
14	-71.875	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	0.33	0.42	23.26	65.34	68.29	70.24	0.77	0.69
