ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	Inferior	Normal	Superior	Indice	Porcentaje
1	-81.375	13.375	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	21.8	22.8	55.4	3	55.4
2	-81.375	13.325	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	21.8	22.9	55.3	3	55.3
3	-81.725	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	19.9	34.3	45.7	3	45.7
4	-81.675	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	18.1	31.4	50.5	3	50.5
5	-81.725	12.525	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	20.8	32.4	46.8	3	46.8
6	-81.725	12.475	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	20.5	31.6	47.9	3	47.9
7	-71.675	12.475	Caribe - Cesar	LA GUAJIRA	URIBIA	24.4	19.2	56.3	3	56.3
8	-71.725	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	24.1	9.2	66.7	3	66.7
9	-71.675	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	24.5	15.4	60.1	3	60.1
10	-71.625	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	23.8	16.4	59.7	3	59.7
11	-71.575	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	22.7	21.7	55.6	3	55.6
12	-71.525	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	23.8	23.2	53	3	53
13	-71.475	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	25.4	21.7	53	3	53
14	-71.875	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	15.6	19.4	65	3	65
15	-71.825	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	16.7	17.3	66	3	66
16	-71.775	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	20.2	16.5	63.3	3	63.3
17	-71.725	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	26	6.4	67.5	3	67.5
18	-71.675	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	26.6	12.8	60.6	3	60.6
19	-71.625	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	25.7	12	62.3	3	62.3
20	-71.575	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	23.4	22.2	54.5	3	54.5
21	-71.525	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	25.1	25.4	49.5	3	49.5
22	-71.475	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	22.7	22.8	54.5	3	54.5
23	-71.425	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	25.8	16	58.2	3	58.2
24	-71.375	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	35.9	15.7	48.3	3	48.3
25	-71.325	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	38.1	17.7	44.2	3	44.2
26	-71.925	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	16.3	18	65.7	3	65.7
27	-71.875	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	15	19.6	65.4	3	65.4
28	-71.825	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	17.7	16.3	65.9	3	65.9
29	-71.775	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	18.9	16.8	64.3	3	64.3
30	-71.725	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	25.7	11.1	63.2	3	63.2
31	-71.675	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	31.8	6.7	61.5	3	61.5
32	-71.625	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	29.3	10.3	60.4	3	60.4
33	-71.575	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	28.2	13.1	58.6	3	58.6
34	-71.525	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	29.1	13.6	57.3	3	57.3
35	-71.475	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	27.6	19.2	53.1	3	53.1
36	-71.425	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	26.1	14.5	59.4	3	59.4
37	-71.375	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	33.7	18.9	47.4	3	47.4
38	-71.325	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	36	17.3	46.7	3	46.7
39	-71.275	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	36.7	10.1	53.2	3	53.2
40	-71.225	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	30	25.7	44.3	3	44.3
41	-71.975	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	11.6	26.9	61.5	3	61.5
42	-71.925	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	17.4	19.6	63	3	63
43	-71.875	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	13.7	22.6	63.7	3	63.7
44	-71.825	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	16.3	19.9	63.8	3	63.8
45	-71.775	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	17	18.1	64.9	3	64.9
46	-71.725	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	-1	-1	-1	-999	-999
47	-71.675	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	26.3	27.1	46.5	3	46.5
