ID	Longitud	Latitud	Region_Homogenea	Departamento	Municipio	Pronostico	Probabilidad
1	-81.375	13.375	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	30	56
2	-81.375	13.325	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	PROVIDENCIA	29.8	56
3	-81.725	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	34.8	56
4	-81.675	12.575	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	35.8	56
5	-81.725	12.525	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	35	56
6	-81.725	12.475	San Andrés y Providencia	ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA	SAN ANDRÉS	36.6	56
7	-71.675	12.475	Caribe - Cesar	LA GUAJIRA	URIBIA	14	54
8	-71.725	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	14.2	54
9	-71.675	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	12.7	54
10	-71.625	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	5.3	54
11	-71.575	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	3.8	54
12	-71.525	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	2.7	54
13	-71.475	12.425	Caribe - Cesar	LA GUAJIRA	URIBIA	4.2	54
14	-71.875	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	16.7	54
15	-71.825	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	14.1	53
16	-71.775	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	8.2	53
17	-71.725	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	11.3	53
18	-71.675	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	9.3	54
19	-71.625	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	4	54
20	-71.575	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3.5	54
21	-71.525	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	3.8	54
22	-71.475	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	4.6	54
23	-71.425	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	5.8	55
24	-71.375	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	6.3	58
25	-71.325	12.375	Caribe - Cesar	LA GUAJIRA	URIBIA	6.7	58
26	-71.925	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	13.6	54
27	-71.875	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	10	54
28	-71.825	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	8.6	54
29	-71.775	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	5	54
30	-71.725	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	1.1	54
31	-71.675	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	1.1	54
32	-71.625	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	3.9	54
33	-71.575	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	4.8	54
34	-71.525	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	6.4	54
35	-71.475	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	7	55
36	-71.425	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	6.8	55
37	-71.375	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	7.5	58
38	-71.325	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	10.5	58
39	-71.275	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	11.2	59
40	-71.225	12.325	Caribe - Cesar	LA GUAJIRA	URIBIA	8.9	55
41	-71.975	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	1.1	54
42	-71.925	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	1.1	54
43	-71.875	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	10.9	53
44	-71.825	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	11.3	54
45	-71.775	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	6.6	54
46	-71.725	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
47	-71.675	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	0.5	54
48	-71.625	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	3.7	53
49	-71.575	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	4.6	54
50	-71.525	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	8.1	55
51	-71.475	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	9.8	55
52	-71.425	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	9.7	55
53	-71.375	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	8.2	55
54	-71.325	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	14.5	58
55	-71.275	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	18.1	58
56	-71.225	12.275	Caribe - Cesar	LA GUAJIRA	URIBIA	12.1	55
57	-72.175	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	4.2	54
58	-72.125	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	18.4	53
59	-72.075	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	15	53
60	-72.025	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
61	-71.975	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	0	-999
62	-71.875	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	4.5	53
63	-71.825	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	3.3	53
64	-71.775	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	2.2	54
65	-71.725	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
66	-71.675	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
67	-71.625	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
68	-71.575	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	0.3	54
69	-71.525	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	3.5	55
70	-71.475	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	9.1	55
71	-71.425	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	9.9	56
72	-71.375	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	8.7	56
73	-71.325	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	5	58
74	-71.275	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	17.7	58
75	-71.225	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	21	55
76	-71.175	12.225	Caribe - Cesar	LA GUAJIRA	URIBIA	19.4	56
77	-72.175	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	4.5	53
78	-72.125	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	18.1	53
79	-72.075	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	15.5	53
80	-72.025	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0	-999
81	-71.975	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.1	63
82	-71.925	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.3	54
83	-71.875	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.9	54
84	-71.825	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	1.3	54
85	-71.775	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	1.5	54
86	-71.725	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	0.9	54
87	-71.675	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
88	-71.625	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
89	-71.575	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
90	-71.525	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
91	-71.475	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	5.7	56
92	-71.425	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	8.5	56
93	-71.375	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	12.1	56
94	-71.325	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	6.2	58
95	-71.275	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	7.4	58
96	-71.225	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	19.4	55
97	-71.175	12.175	Caribe - Cesar	LA GUAJIRA	URIBIA	20.9	56
98	-72.125	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	17.5	53
99	-72.075	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	13.7	53
100	-72.025	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0.1	57
101	-71.975	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0.1	57
102	-71.925	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0.1	63
103	-71.875	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0	-999
104	-71.825	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
105	-71.775	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0	-999
106	-71.725	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0.8	54
107	-71.675	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	0.6	54
108	-71.625	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
109	-71.575	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
110	-71.525	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
111	-71.475	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	1.1	55
112	-71.425	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	3.1	56
113	-71.375	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	8.5	55
114	-71.325	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	4.4	56
115	-71.275	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	3.2	57
116	-71.225	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	8.7	55
117	-71.175	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	15.6	55
118	-71.125	12.125	Caribe - Cesar	LA GUAJIRA	URIBIA	13.3	56
119	-72.175	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	4.4	53
120	-72.125	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	8.6	53
121	-72.075	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	0.1	63
122	-72.025	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	0.1	57
123	-71.975	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	0.1	57
124	-71.925	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	0	-999
125	-71.875	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
126	-71.825	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
127	-71.775	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	-999	-999
128	-71.725	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	0.2	57
129	-71.675	12.075	Caribe - Cesar	LA GUAJIRA	URIBIA	0.5	54
